"analysis_id","tfl_id","analysis_group_id","analysis_group_label","estimand","treatment","contrast","visit","estimate","standard_error","degrees_of_freedom","lower_confidence_limit","upper_confidence_limit","statistic","p_value","covariance_used"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","visit_lsmean","","","2005",-0.472059766157013,2.15825751167677,21.2612557645193,-4.95704613043593,4.01292659812191,-0.218722633236784,0.828952031313361,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","visit_lsmean","","","2009",0.591946063449385,2.4456815653347,22.0009087154109,-4.48007492134229,5.66396704824106,0.242037259404364,0.810993151614696,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","visit_lsmean","","","2013",2.7605616851887,2.44198020837509,19.1961158294718,-2.34702970446962,7.86815307484703,1.13046030255323,0.272209544005255,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","visit_lsmean","","","2017",6.60848823832085,2.11443628246444,19.3926084955227,2.18897859320012,11.0279978834416,3.12541375359794,0.00547171690950409,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","visit_lsmean","","","2021",7.44593455184529,1.8656355681638,20.2200141887549,3.55699979408032,11.3348693096103,3.99109808952332,0.000705592136601636,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","visit_lsmean","","","2025",8.74579610222465,1.70742576160329,16.7276863143086,5.13897020836536,12.3526219960839,5.12221163514148,8.92411495659284e-05,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","visit_lsmean","","","2005",-4.066609011401,2.13403703739921,40.3461221097706,-8.37850645541585,0.245288432613843,-1.90559439228714,0.0638458783249879,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","visit_lsmean","","","2009",-0.308477284358124,1.77864792656115,37.84892348662,-3.90963380906129,3.29267924034504,-0.173433583876566,0.863234869688511,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","visit_lsmean","","","2013",0.0486041348836608,1.97869987454447,37.1882426534949,-3.95993772178556,4.05714599155288,0.0245636720904176,0.980534332992917,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","visit_lsmean","","","2017",-1.2208048621102,2.16062455038637,35.3644424756722,-5.60549061121816,3.16388088699777,-0.565024063015432,0.575624503798785,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","visit_lsmean","","","2021",0.191739124703652,2.0098800233535,36.4873363184025,-3.88259693039406,4.26607517980137,0.0953982936671684,0.924520491010244,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","visit_lsmean","","","2025",0.761422928479199,1.923574424736,37.6628697443278,-3.13379492017175,4.65664077713015,0.395837519301443,0.694458428539425,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","visit_lsmean","","","2005",1.80729288947119,2.60982084046018,21.7802309009877,-3.60831244706498,7.22289822600736,0.692496918352647,0.495943061178131,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","visit_lsmean","","","2009",5.02485852627738,2.79242558311153,21.9970519742367,-0.766322684064187,10.8160397366189,1.79946013840709,0.0856798739773368,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","visit_lsmean","","","2013",8.28562281127714,2.43386550653267,20.1528503709594,3.21113574127931,13.360109881275,3.40430594420191,0.00279033509935499,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","visit_lsmean","","","2017",9.17156499717751,2.19837119670326,15.033070120499,4.48674532422291,13.8563846701321,4.17198197052957,0.000814326354687977,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","visit_lsmean","","","2021",9.70437189798291,2.71918180037082,18.391427252289,4.00028569689326,15.4084580990726,3.56885732931116,0.0021344955133917,"UN"
