"analysis_id","tfl_id","analysis_group_id","analysis_group_label","row_type","estimand","treatment","contrast","visit","observed_n","observed_mean","observed_sd","observed_median","observed_min","observed_max","baseline_n","baseline_mean","baseline_sd","mmrm_estimate","standard_error","confidence_interval","degrees_of_freedom","statistic","p_value","covariance_used"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2005","42","-3.214","15.295","0.000","-45.000","30.000","42","86.071","20.646","-2.702","2.263","(-7.274, 1.869)","40.9","-1.194","0.2394","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2009","41","0.366","18.282","0.000","-50.000","50.000","41","86.098","20.722","1.469","2.490","(-3.564, 6.501)","40.3","0.590","0.5587","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2013","38","-0.395","18.321","0.000","-50.000","35.000","38","85.263","21.275","0.546","2.559","(-4.629, 5.722)","38.9","0.213","0.8321","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2017","34","1.765","22.726","0.000","-60.000","85.000","34","83.824","22.021","1.430","3.124","(-4.907, 7.767)","35.6","0.458","0.6499","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2021","28","2.679","23.432","0.000","-50.000","75.000","28","82.321","22.047","2.221","2.867","(-3.604, 8.045)","34.4","0.774","0.4439","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_EMOTIONAL","家长报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2025","27","4.815","22.933","0.000","-35.000","85.000","27","81.852","22.324","3.228","2.813","(-2.499, 8.956)","32.2","1.148","0.2595","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2005","42","-3.498","18.886","0.000","-68.800","62.500","42","85.650","18.154","-3.566","2.724","(-9.071, 1.938)","40.3","-1.309","0.1979","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2009","41","1.983","14.599","0.000","-43.700","43.800","41","86.671","16.058","2.719","1.969","(-1.267, 6.705)","38.1","1.381","0.1754","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2013","38","4.195","13.261","0.000","-18.700","43.800","38","86.111","16.500","4.680","1.952","(0.728, 8.632)","38.1","2.397","0.0215","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2017","34","1.203","16.712","0.000","-46.900","43.800","34","85.212","17.105","1.334","2.742","(-4.236, 6.903)","34.5","0.486","0.6298","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2021","28","1.004","18.204","1.550","-34.400","46.900","28","85.614","15.248","-0.740","3.223","(-7.337, 5.858)","28.3","-0.230","0.8200","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_PHYSICAL","家长报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2025","27","1.504","16.351","0.000","-31.200","34.400","27","85.659","15.632","-0.020","2.650","(-5.414, 5.374)","32.7","-0.008","0.9940","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2005","40","-6.250","19.703","-5.000","-65.000","55.000","40","79.750","21.564","-5.931","2.965","(-11.930, 0.069)","38.6","-2.000","0.0526","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2009","39","-5.941","14.189","-5.000","-50.000","25.000","39","81.026","20.259","-5.184","2.274","(-9.796, -0.571)","36.1","-2.279","0.0287","UN"
