"analysis_id","tfl_id","analysis_group_id","analysis_group_label","row_type","estimand","treatment","contrast","visit","observed_n","observed_mean","observed_sd","observed_median","observed_min","observed_max","baseline_n","baseline_mean","baseline_sd","mmrm_estimate","standard_error","confidence_interval","degrees_of_freedom","statistic","p_value","covariance_used"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2013","37","-5.451","16.376","0.000","-55.000","20.000","37","80.000","20.302","-5.029","2.720","(-10.548, 0.491)","35.5","-1.849","0.0729","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2017","33","-6.718","20.360","0.000","-80.000","40.000","33","81.312","20.120","-7.131","3.477","(-14.197, -0.066)","34.1","-2.051","0.0480","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2021","27","-4.259","15.610","0.000","-40.000","20.000","27","81.296","20.597","-2.212","2.433","(-7.150, 2.727)","35.0","-0.909","0.3695","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2025","26","-3.012","19.512","0.000","-45.000","55.000","26","79.935","20.284","-1.939","3.253","(-8.547, 4.670)","34.2","-0.596","0.5551","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2005","42","-3.810","14.305","0.000","-40.000","40.000","42","87.024","20.244","-3.882","2.020","(-7.965, 0.201)","40.1","-1.921","0.0618","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2009","41","-1.707","19.481","0.000","-70.000","65.000","41","88.049","19.361","-1.307","2.782","(-6.933, 4.319)","39.0","-0.470","0.6409","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2013","38","-3.684","20.817","0.000","-75.000","45.000","38","87.105","19.818","-3.216","3.014","(-9.311, 2.879)","39.2","-1.067","0.2924","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2017","34","-1.765","20.184","0.000","-55.000","45.000","34","86.765","20.071","-2.133","2.863","(-7.926, 3.661)","38.5","-0.745","0.4608","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2021","28","-1.250","20.167","0.000","-50.000","55.000","28","87.857","18.228","-0.189","2.485","(-5.209, 4.831)","40.6","-0.076","0.9398","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2025","27","1.481","20.513","0.000","-55.000","65.000","27","87.222","18.310","2.144","2.453","(-2.814, 7.102)","39.7","0.874","0.3873","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","observed_with_mmrm","visit_lsmean","ALL","","2005","42","-4.148","14.430","-2.200","-54.300","44.500","42","85.029","16.980","-4.067","2.134","(-8.379, 0.245)","40.3","-1.906","0.0638","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","observed_with_mmrm","visit_lsmean","ALL","","2009","41","-0.885","12.086","0.000","-34.800","21.800","41","85.883","15.743","-0.308","1.779","(-3.910, 3.293)","37.8","-0.173","0.8632","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","observed_with_mmrm","visit_lsmean","ALL","","2013","38","-0.574","12.774","0.000","-34.800","28.200","38","85.003","16.015","0.049","1.979","(-3.960, 4.057)","37.2","0.025","0.9805","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","observed_with_mmrm","visit_lsmean","ALL","","2017","34","-1.044","13.731","1.250","-40.200","29.400","34","84.529","16.691","-1.221","2.161","(-5.605, 3.164)","35.4","-0.565","0.5756","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","observed_with_mmrm","visit_lsmean","ALL","","2021","28","-0.325","13.335","1.050","-35.800","32.600","28","84.564","15.528","0.192","2.010","(-3.883, 4.266)","36.5","0.095","0.9245","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_TOTAL","家长报告总分","observed_with_mmrm","visit_lsmean","ALL","","2025","27","1.119","13.422","3.200","-27.200","28.200","27","84.107","15.629","0.761","1.924","(-3.134, 4.657)","37.7","0.396","0.6945","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2005","23","2.391","18.639","0.000","-35.000","45.000","23","80.000","21.690","2.201","3.499","(-5.083, 9.484)","20.7","0.629","0.5363","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2009","24","0.625","17.403","0.000","-35.000","35.000","24","79.583","21.311","0.124","3.505","(-7.146, 7.393)","22.0","0.035","0.9722","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2013","22","2.500","15.943","0.000","-35.000","45.000","22","81.364","21.167","2.252","3.305","(-4.669, 9.173)","18.8","0.682","0.5038","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2017","20","6.500","16.472","0.000","-20.000","60.000","20","81.750","20.981","6.631","3.259","(-0.195, 13.457)","18.8","2.035","0.0562","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2021","19","7.105","10.044","0.000","-5.000","30.000","19","84.474","17.551","9.178","2.009","(4.922, 13.433)","16.2","4.568","0.0003","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_EMOTIONAL","受试者报告情感功能","observed_with_mmrm","visit_lsmean","ALL","","2025","19","10.263","13.486","0.000","0.000","35.000","19","84.474","17.551","11.838","1.972","(7.681, 15.994)","17.2","6.003","<0.0001","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2005","23","1.730","12.521","3.100","-25.000","21.900","23","79.113","15.344","1.807","2.610","(-3.608, 7.223)","21.8","0.692","0.4959","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2009","24","5.308","14.244","6.250","-31.200","31.200","24","79.463","15.104","5.025","2.792","(-0.766, 10.816)","22.0","1.799","0.0857","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2013","22","8.782","11.927","7.850","-12.500","43.700","22","79.582","15.536","8.286","2.434","(3.211, 13.360)","20.2","3.404","0.0028","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2017","20","10.130","10.551","12.500","-6.200","31.200","20","80.195","15.545","9.172","2.198","(4.487, 13.856)","15.0","4.172","0.0008","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2021","19","10.163","14.670","6.300","-21.900","43.700","19","82.111","13.326","9.704","2.719","(4.000, 15.408)","18.4","3.569","0.0021","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_PHYSICAL","受试者报告生理功能","observed_with_mmrm","visit_lsmean","ALL","","2025","19","10.989","12.714","12.500","-15.600","37.500","19","82.111","13.326","11.762","2.009","(7.548, 15.975)","18.4","5.856","<0.0001","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2005","23","-8.261","19.046","-5.000","-50.000","45.000","23","74.348","22.878","-8.045","3.779","(-15.885, -0.206)","21.9","-2.129","0.0448","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2009","24","-7.292","19.504","-5.000","-55.000","20.000","24","75.208","22.769","-7.399","3.920","(-15.529, 0.732)","22.0","-1.887","0.0724","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2013","22","-5.000","24.543","-5.000","-55.000","60.000","22","75.227","23.015","-5.052","4.912","(-15.248, 5.145)","21.6","-1.028","0.3151","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2017","20","-1.500","21.588","-5.000","-50.000","45.000","20","76.500","23.458","-1.580","4.485","(-10.943, 7.784)","19.8","-0.352","0.7284","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2021","19","0.526","23.682","0.000","-45.000","55.000","19","76.579","24.098","1.118","3.894","(-6.974, 9.210)","21.3","0.287","0.7768","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","observed_with_mmrm","visit_lsmean","ALL","","2025","19","2.105","23.706","0.000","-35.000","55.000","19","76.579","24.098","0.783","4.743","(-9.186, 10.752)","17.9","0.165","0.8707","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2005","23","1.087","13.480","0.000","-30.000","30.000","23","81.957","23.048","0.767","2.485","(-4.401, 5.935)","21.0","0.309","0.7606","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2009","24","2.292","20.161","0.000","-50.000","65.000","24","82.500","22.698","1.939","3.330","(-4.968, 8.846)","22.0","0.582","0.5664","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2013","22","2.955","16.808","0.000","-35.000","45.000","22","82.045","23.587","2.714","3.020","(-3.587, 9.015)","20.0","0.898","0.3797","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2017","20","8.500","18.503","0.000","-20.000","45.000","20","82.000","24.138","7.806","2.900","(1.658, 13.955)","16.0","2.692","0.0161","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2021","19","5.263","15.409","0.000","-30.000","40.000","19","85.526","18.775","6.465","2.443","(1.322, 11.609)","17.5","2.646","0.0167","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","observed_with_mmrm","visit_lsmean","ALL","","2025","19","9.211","19.312","0.000","-10.000","65.000","19","85.526","18.775","10.455","2.531","(5.172, 15.738)","19.8","4.130","0.0005","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","observed_with_mmrm","visit_lsmean","ALL","","2005","23","-0.452","10.880","1.000","-23.900","27.200","23","78.896","16.934","-0.472","2.158","(-4.957, 4.013)","21.3","-0.219","0.8290","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","observed_with_mmrm","visit_lsmean","ALL","","2009","24","0.879","12.599","1.050","-28.300","19.500","24","79.233","16.644","0.592","2.446","(-4.480, 5.664)","22.0","0.242","0.8110","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","observed_with_mmrm","visit_lsmean","ALL","","2013","22","3.136","11.956","1.050","-17.400","31.500","22","79.568","17.015","2.761","2.442","(-2.347, 7.868)","19.2","1.130","0.2722","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","observed_with_mmrm","visit_lsmean","ALL","","2017","20","6.435","10.564","5.950","-19.600","28.200","20","80.135","16.979","6.608","2.114","(2.189, 11.028)","19.4","3.125","0.0055","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","observed_with_mmrm","visit_lsmean","ALL","","2021","19","6.326","10.441","6.500","-9.800","29.300","19","82.179","14.701","7.446","1.866","(3.557, 11.335)","20.2","3.991","0.0007","UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_TOTAL","受试者报告总分","observed_with_mmrm","visit_lsmean","ALL","","2025","19","8.484","10.283","6.500","-6.500","27.200","19","82.179","14.701","8.746","1.707","(5.139, 12.353)","16.7","5.122","<0.0001","UN"
