"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"肯德尔十分制","KENDTEN","基线[1]",4,"9.50（1.00）","10.00","8.00，10.00",,"","","","","","","","","","fit_failed"
"肯德尔十分制","KENDTEN","周期 5",4,"9.50（1.00）","10.00","8.00，10.00",4,"0.00（0.00）","0.00","0.00，0.00","","","","","","","fit_failed"
"肯德尔十分制","KENDTEN","周期 9",4,"10.00（0.00）","10.00","10.00，10.00",4,"0.50（1.00）","0.00","0.00，2.00","","","","","","","fit_failed"
"肯德尔十分制","KENDTEN","周期 13",3,"10.00（0.00）","10.00","10.00，10.00",3,"0.00（0.00）","0.00","0.00，0.00","","","","","","","fit_failed"
"肯德尔十分制","KENDTEN","周期 17",3,"10.00（0.00）","10.00","10.00，10.00",3,"0.00（0.00）","0.00","0.00，0.00","","","","","","","fit_failed"
"肯德尔十分制","KENDTEN","周期 21",3,"10.00（0.00）","10.00","10.00，10.00",3,"0.00（0.00）","0.00","0.00，0.00","","","","","","","fit_failed"
"肯德尔十分制","KENDTEN","周期 25",3,"10.00（0.00）","10.00","10.00，10.00",3,"0.00（0.00）","0.00","0.00，0.00","","","","","","","fit_failed"
