"tfl_id","title","PARAMCD","source_paramcd","parameter","covariance_used","model_rds","status","note_cn","AVISITN_F","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINTE","PAINTE","患者报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINTE_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2005",0.0383127246213879,0.0980276141242933,41.6522036832145,-0.159563960111007,0.236189409353782,0.390836041085419,0.697910436291218
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINTE","PAINTE","患者报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINTE_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2009",0.0653716236341798,0.108629750798943,41.9968384212014,-0.153852577772582,0.284595825040942,0.601783794525797,0.550553180174898
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINTE","PAINTE","患者报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINTE_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2013",0.00969972868350597,0.0812627618901021,39.3587353595088,-0.154621835580559,0.174021292947571,0.119362527902062,0.905595329373192
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINTE","PAINTE","患者报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINTE_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2017",0.0157141360766673,0.0954865582063087,39.5866713235149,-0.177334183911669,0.208762456065004,0.164569090894608,0.87012061684845
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINTE","PAINTE","患者报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINTE_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2021",-0.111378590681165,0.0859234583439497,31.9980623208426,-0.286399363632352,0.0636421822700221,-1.29625358229087,0.204159710045265
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINTE","PAINTE","患者报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINTE_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2025",0.0498811459981875,0.127063675844106,24.9613697902182,-0.211831930138048,0.311594222134423,0.392568101519326,0.697970779044597
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINPR","PAINPR","家长报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINPR_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2005",0.111226214920862,0.134822335148492,35.3360306010616,-0.162384664080859,0.384837093922583,0.82498359636301,0.414915635383416
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINPR","PAINPR","家长报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINPR_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2009",0.0559907072128991,0.138835095687684,35.3348435468525,-0.225764075451012,0.33774548987681,0.403289290330831,0.68916547353745
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINPR","PAINPR","家长报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINPR_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2013",0.0679995115479981,0.165920472007894,35.9254584307116,-0.268527047485173,0.40452607058117,0.409831955786402,0.68436285957533
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINPR","PAINPR","家长报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINPR_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2017",0.0845806461431401,0.110959742931306,35.142076643333,-0.140647056986351,0.309808349272631,0.762264258268005,0.450988477270564
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINPR","PAINPR","家长报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINPR_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2021",0.135023159744789,0.163387072988316,24.7945808426764,-0.201620233060471,0.471666552550049,0.826400505714703,0.41645885457917
"14.2.12.1.2","疼痛干扰观测值及相对基线变化-MMRM-汇总（COA分析集）","PAINPR","PAINPR","家长报告的平均疼痛干扰","UN","studies/fcn_159_002_skilltest/output/qc/models/14_2_12_1_2_PAINPR_mmrm.rds","partial","这是原始 MMRM LSMean 明细输出；同一次 R 运行会继续生成 shell-like final TFL CSV。","2025",0.00264352120639565,0.131250601560338,20.6646826283212,-0.270576983180512,0.275864025593303,0.0201410216408066,0.984124085430565
