"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"关节活动程度之和-肘","SUMELBOW","周期 13",2,"103.00（4.24）","103.00","100.00，106.00",2,"-54.50（77.07）","-54.50","-109.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肘","SUMELBOW","周期 17",2,"95.50（21.92）","95.50","80.00，111.00",2,"-62.00（59.40）","-62.00","-104.00，-20.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肘","SUMELBOW","周期 21",1,"100.00（）","100.00","100.00，100.00",1,"0.00（）","0.00","0.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肘","SUMELBOW","周期 25",2,"50.00（70.71）","50.00","0.00，100.00",2,"-107.50（152.03）","-107.50","-215.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-髋","SUMHIP","基线[1]",2,"481.00（72.12）","481.00","430.00，532.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-髋","SUMHIP","周期 5",1,"532.00（）","532.00","532.00，532.00",1,"0.00（）","0.00","0.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-髋","SUMHIP","周期 9",2,"449.00（117.38）","449.00","366.00，532.00",2,"-32.00（45.25）","-32.00","-64.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-髋","SUMHIP","周期 13",2,"479.50（74.25）","479.50","427.00，532.00",2,"-1.50（2.12）","-1.50","-3.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-髋","SUMHIP","周期 17",1,"520.00（）","520.00","520.00，520.00",1,"90.00（）","90.00","90.00，90.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-膝","SUMKNEE","基线[1]",1,"220.00（）","220.00","220.00，220.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-膝","SUMKNEE","周期 9",1,"224.00（）","224.00","224.00，224.00",1,"4.00（）","4.00","4.00，4.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-膝","SUMKNEE","周期 13",1,"242.00（）","242.00","242.00，242.00",1,"22.00（）","22.00","22.00，22.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-膝","SUMKNEE","周期 17",1,"290.00（）","290.00","290.00，290.00",1,"70.00（）","70.00","70.00，70.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-颈","SUMNECK","基线[1]",1,"265.00（）","265.00","265.00，265.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-颈","SUMNECK","周期 9",1,"265.00（）","265.00","265.00，265.00",1,"0.00（）","0.00","0.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-颈","SUMNECK","周期 13",1,"265.00（）","265.00","265.00，265.00",1,"0.00（）","0.00","0.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肩","SUMSHOU","基线[1]",1,"585.00（）","585.00","585.00，585.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-肩","SUMSHOU","周期 5",1,"611.00（）","611.00","611.00，611.00",1,"26.00（）","26.00","26.00，26.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肩","SUMSHOU","周期 9",1,"615.00（）","615.00","615.00，615.00",1,"30.00（）","30.00","30.00，30.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肩","SUMSHOU","周期 13",1,"637.00（）","637.00","637.00，637.00",1,"52.00（）","52.00","52.00，52.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肩","SUMSHOU","周期 17",1,"648.00（）","648.00","648.00，648.00",1,"63.00（）","63.00","63.00，63.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-腕","SUMWRIST","基线[1]",2,"258.00（59.40）","258.00","216.00，300.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-腕","SUMWRIST","周期 5",2,"276.50（33.23）","276.50","253.00，300.00",2,"18.50（26.16）","18.50","0.00，37.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-腕","SUMWRIST","周期 9",2,"272.50（38.89）","272.50","245.00，300.00",2,"14.50（20.51）","14.50","0.00，29.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-腕","SUMWRIST","周期 13",2,"295.50（6.36）","295.50","291.00，300.00",2,"37.50（53.03）","37.50","0.00，75.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-腕","SUMWRIST","周期 17",2,"293.50（9.19）","293.50","287.00，300.00",2,"35.50（50.20）","35.50","0.00，71.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-腕","SUMWRIST","周期 21",1,"300.00（）","300.00","300.00，300.00",1,"0.00（）","0.00","0.00，0.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-腕","SUMWRIST","周期 25",1,"300.00（）","300.00","300.00，300.00",1,"0.00（）","0.00","0.00，0.00","","","","","","","未生成MMRM结果"
