"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"关节活动程度之和","SUMALL","基线[1]",9,"357.00（353.11）","265.00","55.00，1016.00",,"","","","","","","","","","描述统计"
"关节活动程度之和","SUMALL","周期 5",7,"375.29（397.43）","130.00","120.00，1195.00",7,"63.43（59.87）","65.00","0.00，179.00","59.47（25.54）","5.66，113.27","17.4","2.33","0.032","AR(1)","partial"
"关节活动程度之和","SUMALL","周期 9",9,"378.78（310.03）","265.00","120.00，980.00",9,"21.78（47.44）","0.00","-43.00，80.00","27.64（23.24）","-22.24，77.52","13.9","1.19","0.254","AR(1)","partial"
"关节活动程度之和","SUMALL","周期 13",9,"391.56（333.03）","265.00","125.00，1034.00",9,"34.56（32.32）","23.00","0.00，70.00","37.38（23.24）","-12.50，87.25","13.9","1.61","0.130","AR(1)","partial"
"关节活动程度之和","SUMALL","周期 17",7,"411.14（411.47）","130.00","125.00，1046.00",7,"66.00（60.80）","65.00","-20.00，182.00","60.22（25.64）","6.24，114.19","17.5","2.35","0.031","AR(1)","partial"
"关节活动程度之和","SUMALL","周期 21",5,"177.00（124.78）","120.00","115.00，400.00",5,"50.00（28.28）","60.00","0.00，70.00","-33.69（42.52）","-120.66，53.29","28.9","-0.79","0.435","AR(1)","partial"
"关节活动程度之和","SUMALL","周期 25",6,"150.00（132.33）","125.00","0.00，400.00",6,"-125.17（437.24）","62.50","-1016.00，70.00","-157.41（28.73）","-218.27，-96.55","16.1","-5.48","<0.001","AR(1)","partial"
"关节活动程度之和-踝","SUMANKLE","基线[1]",5,"70.00（25.25）","60.00","55.00，115.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-踝","SUMANKLE","周期 5",4,"125.00（4.08）","125.00","120.00，130.00",4,"66.25（4.79）","67.50","60.00，70.00","57.55（5.95）","44.87，70.23","15.0","9.68","<0.001","AR(1)","partial"
"关节活动程度之和-踝","SUMANKLE","周期 9",5,"128.40（7.77）","125.00","120.00，140.00",5,"58.40（24.30）","65.00","17.00，80.00","62.98（2.19）","57.97，67.99","8.4","28.77","<0.001","AR(1)","partial"
"关节活动程度之和-踝","SUMANKLE","周期 13",5,"124.80（3.90）","125.00","119.00，130.00",5,"54.80（28.51）","65.00","4.00，70.00","60.43（2.19）","55.42，65.44","8.4","27.61","<0.001","AR(1)","partial"
"关节活动程度之和-踝","SUMANKLE","周期 17",5,"128.40（5.27）","125.00","125.00，137.00",5,"58.40（20.50）","65.00","22.00，70.00","62.44（2.19）","57.43，67.45","8.4","28.53","<0.001","AR(1)","partial"
"关节活动程度之和-踝","SUMANKLE","周期 21",4,"121.25（6.29）","120.00","115.00，130.00",4,"62.50（5.00）","60.00","60.00，70.00","66.07（5.95）","53.40，78.75","15.0","11.11","<0.001","AR(1)","partial"
"关节活动程度之和-踝","SUMANKLE","周期 25",4,"125.00（4.08）","125.00","120.00，130.00",4,"66.25（4.79）","67.50","60.00，70.00","59.61（7.15）","44.25，74.96","13.9","8.33","<0.001","AR(1)","partial"
"关节活动程度之和-肘","SUMELBOW","基线[1]",2,"157.50（81.32）","157.50","100.00，215.00",,"","","","","","","","","","描述统计"
"关节活动程度之和-肘","SUMELBOW","周期 5",2,"215.50（163.34）","215.50","100.00，331.00",2,"58.00（82.02）","58.00","0.00，116.00","","","","","","","未生成MMRM结果"
"关节活动程度之和-肘","SUMELBOW","周期 9",2,"110.00（14.14）","110.00","100.00，120.00",2,"-47.50（67.18）","-47.50","-95.00，0.00","","","","","","","未生成MMRM结果"
