"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"受试者报告 - 生理功能","PF1; PF2","周期 25",19,"93.10（9.18）","96.90","71.90，100.00",19,"10.99（12.71）","12.50","-15.60，37.50","11.76（2.01）","7.55，15.98","18.4","5.86","<0.001","UN","partial"
"受试者报告 - 社交功能","SOF1; SOF2","基线[1]",24,"82.50（22.70）","92.50","15.00，100.00",,"","","","","","","","","","描述统计"
"受试者报告 - 社交功能","SOF1; SOF2","周期 5",23,"83.04（19.93）","90.00","45.00，100.00",23,"1.09（13.48）","0.00","-30.00，30.00","0.77（2.49）","-4.40，5.93","21.0","0.31","0.761","UN","partial"
"受试者报告 - 社交功能","SOF1; SOF2","周期 9",24,"84.79（19.02）","90.00","40.00，100.00",24,"2.29（20.16）","0.00","-50.00，65.00","1.94（3.33）","-4.97，8.85","22.0","0.58","0.566","UN","partial"
"受试者报告 - 社交功能","SOF1; SOF2","周期 13",22,"85.00（19.52）","100.00","40.00，100.00",22,"2.95（16.81）","0.00","-35.00，45.00","2.71（3.02）","-3.59，9.01","20.0","0.90","0.380","UN","partial"
"受试者报告 - 社交功能","SOF1; SOF2","周期 17",20,"90.50（15.89）","100.00","50.00，100.00",20,"8.50（18.50）","0.00","-20.00，45.00","7.81（2.90）","1.66，13.95","16.0","2.69","0.016","UN","partial"
"受试者报告 - 社交功能","SOF1; SOF2","周期 21",19,"90.79（13.15）","100.00","55.00，100.00",19,"5.26（15.41）","0.00","-30.00，40.00","6.47（2.44）","1.32，11.61","17.5","2.65","0.017","UN","partial"
"受试者报告 - 社交功能","SOF1; SOF2","周期 25",19,"94.74（11.36）","100.00","60.00，100.00",19,"9.21（19.31）","0.00","-10.00，65.00","10.45（2.53）","5.17，15.74","19.8","4.13","<0.001","UN","partial"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","基线[1]",42,"80.71（21.48）","90.00","30.00，100.00",,"","","","","","","","","","描述统计"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","周期 5",40,"73.50（23.71）","81.65","20.00，100.00",40,"-6.25（19.70）","-5.00","-65.00，55.00","-5.93（2.97）","-11.93，0.07","38.6","-2.00","0.053","UN","partial"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","周期 9",39,"75.08（22.12）","80.00","15.00，100.00",39,"-5.94（14.19）","-5.00","-50.00，25.00","-5.18（2.27）","-9.80，-0.57","36.1","-2.28","0.029","UN","partial"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","周期 13",37,"74.55（24.80）","80.00","15.00，100.00",37,"-5.45（16.38）","0.00","-55.00，20.00","-5.03（2.72）","-10.55，0.49","35.5","-1.85","0.073","UN","partial"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","周期 17",33,"74.59（26.39）","83.30","10.00，100.00",33,"-6.72（20.36）","0.00","-80.00，40.00","-7.13（3.48）","-14.20，-0.07","34.1","-2.05","0.048","UN","partial"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","周期 21",27,"77.04（20.30）","85.00","50.00，100.00",27,"-4.26（15.61）","0.00","-40.00，20.00","-2.21（2.43）","-7.15，2.73","35.0","-0.91","0.370","UN","partial"
"家长报告 - 学校表现","SCF3; SCF4; SCF5; SCF6","周期 25",26,"76.92（23.88）","87.50","20.00，100.00",26,"-3.01（19.51）","0.00","-45.00，55.00","-1.94（3.25）","-8.55，4.67","34.2","-0.60","0.555","UN","partial"
"家长报告 - 总分","TS3; TS4; TS5; TS6","基线[1]",43,"85.23（16.83）","95.70","43.50，100.00",,"","","","","","","","","","描述统计"
"家长报告 - 总分","TS3; TS4; TS5; TS6","周期 5",42,"80.88（18.47）","89.20","43.50，100.00",42,"-4.15（14.43）","-2.20","-54.30，44.50","-4.07（2.13）","-8.38，0.25","40.3","-1.91","0.064","UN","partial"
"家长报告 - 总分","TS3; TS4; TS5; TS6","周期 9",41,"85.00（15.66）","92.40","43.50，100.00",41,"-0.89（12.09）","0.00","-34.80，21.80","-0.31（1.78）","-3.91，3.29","37.8","-0.17","0.863","UN","partial"
"家长报告 - 总分","TS3; TS4; TS5; TS6","周期 13",38,"84.43（17.14）","94.60","42.40，100.00",38,"-0.57（12.77）","0.00","-34.80，28.20","0.05（1.98）","-3.96，4.06","37.2","0.02","0.981","UN","partial"
"家长报告 - 总分","TS3; TS4; TS5; TS6","周期 17",34,"83.49（17.28）","92.55","42.40，100.00",34,"-1.04（13.73）","1.25","-40.20，29.40","-1.22（2.16）","-5.61，3.16","35.4","-0.57","0.576","UN","partial"
"家长报告 - 总分","TS3; TS4; TS5; TS6","周期 21",28,"84.24（15.97）","91.00","46.70，100.00",28,"-0.33（13.33）","1.05","-35.80，32.60","0.19（2.01）","-3.88，4.27","36.5","0.10","0.925","UN","partial"
"家长报告 - 总分","TS3; TS4; TS5; TS6","周期 25",27,"85.23（14.97）","88.00","50.00，100.00",27,"1.12（13.42）","3.20","-27.20，28.20","0.76（1.92）","-3.13，4.66","37.7","0.40","0.694","UN","partial"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","基线[1]",43,"86.16（20.41）","100.00","15.00，100.00",,"","","","","","","","","","描述统计"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","周期 5",42,"82.86（21.62）","92.50","15.00，100.00",42,"-3.21（15.29）","0.00","-45.00，30.00","-2.70（2.26）","-7.27，1.87","40.9","-1.19","0.239","UN","partial"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","周期 9",41,"86.46（19.66）","100.00","20.00，100.00",41,"0.37（18.28）","0.00","-50.00，50.00","1.47（2.49）","-3.56，6.50","40.3","0.59","0.559","UN","partial"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","周期 13",38,"84.87（20.05）","100.00","35.00，100.00",38,"-0.39（18.32）","0.00","-50.00，35.00","0.55（2.56）","-4.63，5.72","38.9","0.21","0.832","UN","partial"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","周期 17",34,"85.59（20.63）","100.00","20.00，100.00",34,"1.76（22.73）","0.00","-60.00，85.00","1.43（3.12）","-4.91，7.77","35.6","0.46","0.650","UN","partial"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","周期 21",28,"85.00（17.00）","90.00","50.00，100.00",28,"2.68（23.43）","0.00","-50.00，75.00","2.22（2.87）","-3.60，8.05","34.4","0.77","0.444","UN","partial"
"家长报告 - 情感功能","EF3; EF4; EF5; EF6","周期 25",27,"86.67（16.35）","95.00","50.00，100.00",27,"4.81（22.93）","0.00","-35.00，85.00","3.23（2.81）","-2.50，8.96","32.2","1.15","0.259","UN","partial"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","基线[1]",43,"85.69（17.94）","93.80","31.30，100.00",,"","","","","","","","","","描述统计"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","周期 5",42,"82.15（20.63）","93.80","25.00，100.00",42,"-3.50（18.89）","0.00","-68.80，62.50","-3.57（2.72）","-9.07，1.94","40.3","-1.31","0.198","UN","partial"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","周期 9",41,"88.65（14.85）","93.80","43.80，100.00",41,"1.98（14.60）","0.00","-43.70，43.80","2.72（1.97）","-1.27，6.70","38.1","1.38","0.175","UN","partial"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","周期 13",38,"90.31（16.38）","100.00","34.40，100.00",38,"4.19（13.26）","0.00","-18.70，43.80","4.68（1.95）","0.73，8.63","38.1","2.40","0.022","UN","partial"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","周期 17",34,"86.41（19.42）","95.35","31.30，100.00",34,"1.20（16.71）","0.00","-46.90，43.80","1.33（2.74）","-4.24，6.90","34.5","0.49","0.630","UN","partial"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","周期 21",28,"86.62（18.41）","96.90","40.60，100.00",28,"1.00（18.20）","1.55","-34.40，46.90","-0.74（3.22）","-7.34，5.86","28.3","-0.23","0.820","UN","partial"
"家长报告 - 生理功能","PF3; PF4; PF5; PF6","周期 25",27,"87.16（16.65）","93.80","43.80，100.00",27,"1.50（16.35）","0.00","-31.20，34.40","-0.02（2.65）","-5.41，5.37","32.7","-0.01","0.994","UN","partial"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","基线[1]",43,"87.33（20.10）","100.00","30.00，100.00",,"","","","","","","","","","描述统计"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","周期 5",42,"83.21（19.15）","90.00","35.00，100.00",42,"-3.81（14.31）","0.00","-40.00，40.00","-3.88（2.02）","-7.97，0.20","40.1","-1.92","0.062","UN","partial"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","周期 9",41,"86.34（20.68）","100.00","30.00，100.00",41,"-1.71（19.48）","0.00","-70.00，65.00","-1.31（2.78）","-6.93，4.32","39.0","-0.47","0.641","UN","partial"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","周期 13",38,"83.42（21.88）","100.00","25.00，100.00",38,"-3.68（20.82）","0.00","-75.00，45.00","-3.22（3.01）","-9.31，2.88","39.2","-1.07","0.292","UN","partial"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","周期 17",34,"85.00（20.45）","100.00","40.00，100.00",34,"-1.76（20.18）","0.00","-55.00，45.00","-2.13（2.86）","-7.93，3.66","38.5","-0.74","0.461","UN","partial"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","周期 21",28,"86.61（17.54）","95.00","50.00，100.00",28,"-1.25（20.17）","0.00","-50.00，55.00","-0.19（2.49）","-5.21，4.83","40.6","-0.08","0.940","UN","partial"
"家长报告 - 社交功能","SOF3; SOF4; SOF5; SOF6","周期 25",27,"88.70（16.27）","100.00","45.00，100.00",27,"1.48（20.51）","0.00","-55.00，65.00","2.14（2.45）","-2.81，7.10","39.7","0.87","0.387","UN","partial"
