"分析参数","源PARAMCD","访视","观测值例数","观测值均值SD","观测值中位数","观测值最小值最大值","变化例数","变化均值SD","变化中位数","变化最小值最大值","MMRM_LSMean_SE","MMRM_95CI","MMRM_df","MMRM_t值","MMRM_p值","协方差结构","模型状态"
"受试者报告 - 学校表现","SCF1; SCF2","基线[1]",24,"75.21（22.77）","77.50","35.00，100.00",,"","","","","","","","","","描述统计"
"受试者报告 - 学校表现","SCF1; SCF2","周期 5",23,"66.09（24.40）","70.00","20.00，100.00",23,"-8.26（19.05）","-5.00","-50.00，45.00","-8.05（3.78）","-15.88，-0.21","21.9","-2.13","0.045","UN","partial"
"受试者报告 - 学校表现","SCF1; SCF2","周期 9",24,"67.92（25.66）","67.50","15.00，100.00",24,"-7.29（19.50）","-5.00","-55.00，20.00","-7.40（3.92）","-15.53，0.73","22.0","-1.89","0.072","UN","partial"
"受试者报告 - 学校表现","SCF1; SCF2","周期 13",22,"70.23（27.36）","75.00","15.00，100.00",22,"-5.00（24.54）","-5.00","-55.00，60.00","-5.05（4.91）","-15.25，5.14","21.6","-1.03","0.315","UN","partial"
"受试者报告 - 学校表现","SCF1; SCF2","周期 17",20,"75.00（24.66）","85.00","20.00，100.00",20,"-1.50（21.59）","-5.00","-50.00，45.00","-1.58（4.49）","-10.94，7.78","19.8","-0.35","0.728","UN","partial"
"受试者报告 - 学校表现","SCF1; SCF2","周期 21",19,"77.11（20.16）","80.00","35.00，100.00",19,"0.53（23.68）","0.00","-45.00，55.00","1.12（3.89）","-6.97，9.21","21.3","0.29","0.777","UN","partial"
"受试者报告 - 学校表现","SCF1; SCF2","周期 25",19,"78.68（23.56）","85.00","15.00，100.00",19,"2.11（23.71）","0.00","-35.00，55.00","0.78（4.74）","-9.19，10.75","17.9","0.17","0.871","UN","partial"
"受试者报告 - 总分","TS1; TS2","基线[1]",24,"79.23（16.64）","83.40","41.30，100.00",,"","","","","","","","","","描述统计"
"受试者报告 - 总分","TS1; TS2","周期 5",23,"78.44（16.36）","82.60","51.10，100.00",23,"-0.45（10.88）","1.00","-23.90，27.20","-0.47（2.16）","-4.96，4.01","21.3","-0.22","0.829","UN","partial"
"受试者报告 - 总分","TS1; TS2","周期 9",24,"80.11（16.73）","80.95","44.60，100.00",24,"0.88（12.60）","1.05","-28.30，19.50","0.59（2.45）","-4.48，5.66","22.0","0.24","0.811","UN","partial"
"受试者报告 - 总分","TS1; TS2","周期 13",22,"82.70（16.45）","86.45","55.40，100.00",22,"3.14（11.96）","1.05","-17.40，31.50","2.76（2.44）","-2.35，7.87","19.2","1.13","0.272","UN","partial"
"受试者报告 - 总分","TS1; TS2","周期 17",20,"86.57（15.21）","96.20","50.00，100.00",20,"6.44（10.56）","5.95","-19.60，28.20","6.61（2.11）","2.19，11.03","19.4","3.13","0.005","UN","partial"
"受试者报告 - 总分","TS1; TS2","周期 21",19,"88.51（12.13）","93.50","59.80，100.00",19,"6.33（10.44）","6.50","-9.80，29.30","7.45（1.87）","3.56，11.33","20.2","3.99","<0.001","UN","partial"
"受试者报告 - 总分","TS1; TS2","周期 25",19,"90.66（9.91）","93.50","71.70，100.00",19,"8.48（10.28）","6.50","-6.50，27.20","8.75（1.71）","5.14，12.35","16.7","5.12","<0.001","UN","partial"
"受试者报告 - 情感功能","EF1; EF2","基线[1]",24,"79.58（21.31）","82.50","30.00，100.00",,"","","","","","","","","","描述统计"
"受试者报告 - 情感功能","EF1; EF2","周期 5",23,"82.39（20.50）","90.00","45.00，100.00",23,"2.39（18.64）","0.00","-35.00，45.00","2.20（3.50）","-5.08，9.48","20.7","0.63","0.536","UN","partial"
"受试者报告 - 情感功能","EF1; EF2","周期 9",24,"80.21（23.43）","92.50","25.00，100.00",24,"0.62（17.40）","0.00","-35.00，35.00","0.12（3.51）","-7.15，7.39","22.0","0.04","0.972","UN","partial"
"受试者报告 - 情感功能","EF1; EF2","周期 13",22,"83.86（21.15）","100.00","45.00，100.00",22,"2.50（15.94）","0.00","-35.00，45.00","2.25（3.30）","-4.67，9.17","18.8","0.68","0.504","UN","partial"
"受试者报告 - 情感功能","EF1; EF2","周期 17",20,"88.25（18.87）","100.00","35.00，100.00",20,"6.50（16.47）","0.00","-20.00，60.00","6.63（3.26）","-0.19，13.46","18.8","2.03","0.056","UN","partial"
"受试者报告 - 情感功能","EF1; EF2","周期 21",19,"91.58（14.05）","100.00","60.00，100.00",19,"7.11（10.04）","0.00","-5.00，30.00","9.18（2.01）","4.92，13.43","16.2","4.57","<0.001","UN","partial"
"受试者报告 - 情感功能","EF1; EF2","周期 25",19,"94.74（10.34）","100.00","60.00，100.00",19,"10.26（13.49）","0.00","0.00，35.00","11.84（1.97）","7.68，15.99","17.2","6.00","<0.001","UN","partial"
"受试者报告 - 生理功能","PF1; PF2","基线[1]",24,"79.46（15.10）","79.95","43.80，100.00",,"","","","","","","","","","描述统计"
"受试者报告 - 生理功能","PF1; PF2","周期 5",23,"80.84（18.01）","75.00","34.40，100.00",23,"1.73（12.52）","3.10","-25.00，21.90","1.81（2.61）","-3.61，7.22","21.8","0.69","0.496","UN","partial"
"受试者报告 - 生理功能","PF1; PF2","周期 9",24,"84.77（16.78）","90.65","53.10，100.00",24,"5.31（14.24）","6.25","-31.20，31.20","5.02（2.79）","-0.77，10.82","22.0","1.80","0.086","UN","partial"
"受试者报告 - 生理功能","PF1; PF2","周期 13",22,"88.36（15.70）","96.90","46.90，100.00",22,"8.78（11.93）","7.85","-12.50，43.70","8.29（2.43）","3.21，13.36","20.2","3.40","0.003","UN","partial"
"受试者报告 - 生理功能","PF1; PF2","周期 17",20,"90.33（13.21）","96.90","62.50，100.00",20,"10.13（10.55）","12.50","-6.20，31.20","9.17（2.20）","4.49，13.86","15.0","4.17","<0.001","UN","partial"
"受试者报告 - 生理功能","PF1; PF2","周期 21",19,"92.27（11.76）","100.00","62.50，100.00",19,"10.16（14.67）","6.30","-21.90，43.70","9.70（2.72）","4.00，15.41","18.4","3.57","0.002","UN","partial"
